case,engine_sha256,input_sha256,status,functional_status,active_intervals,before_target,after_target,before_floor,after_floor,target_losses_from_breaks,floor_losses_from_breaks,avoidable_overage_fte_sum,best_before_target,skeleton_retention_loss,max_concurrent_breaks_observed,break_concurrency_violations,break_objective_mode,gate4_quality_retention,gate4_detail,gate5_break_regression,gate5_detail,gate8_independent_validation,gate8_detail,gate2_vs_rc9_1,gate2_detail,gate9_vs_rc9_1,gate9_detail
AE_AR_B2B,880d638952550e4e,b7dcbbffeb19e05f,PASS_WITH_QUALITY_WARNINGS,PASS_FINAL_SCHEDULE_GENERATED,168,131,131,159,159,0,0,,131,0,5,13,target_priority,PASS_PROTECTED_NOT_EVALUATED,"quality_benchmark=PASS, protected_benchmark=NOT_CONFIGURED; no protected minimum was configured, so the protected tier was never checked",FAIL,2 language reserve quarters lost to breaks,PASS,0 hard failures on FINAL_AFTER_BREAKS,NOT_COMPARABLE_SEARCH_TRUNCATED,AE AR B2B: the run explored 2 of 15 skeleton profiles before its Stage-1 budget ran out; re-run at the DEEP design budget before comparing against RC9.1,NOT_COMPARABLE_SEARCH_TRUNCATED,AE AR B2B: the run explored 2 of 15 skeleton profiles before its Stage-1 budget ran out; re-run at the DEEP design budget before comparing against RC9.1
CRICUT_VOICE,880d638952550e4e,8e3833c9ef496b46,PASS_WITH_QUALITY_WARNINGS,PASS_FINAL_SCHEDULE_GENERATED,264,246,243,255,254,3,1,,246,0,7,37,target_priority,PASS_PROTECTED_NOT_EVALUATED,"quality_benchmark=PASS, protected_benchmark=NOT_CONFIGURED; no protected minimum was configured, so the protected tier was never checked",PASS,"target -3, floor -1 of 264 active; 0 exceptions (minimum proven)",PASS,0 hard failures on FINAL_AFTER_BREAKS,NOT_COMPARABLE_SEARCH_TRUNCATED,Cricut Voice: the run explored 3 of 15 skeleton profiles before its Stage-1 budget ran out; re-run at the DEEP design budget before comparing against RC9.1,NOT_COMPARABLE_SEARCH_TRUNCATED,Cricut Voice: the run explored 3 of 15 skeleton profiles before its Stage-1 budget ran out; re-run at the DEEP design budget before comparing against RC9.1
GDI_REAL28,880d638952550e4e,edd1f1ec098f7efb,FAIL_STAGE2_TIME_BUDGET_EXHAUSTED,PASS_FUNCTIONAL_DIAGNOSTIC_COMPLETED_NO_FINAL,,0,0,0,0,0,0,,153,153,,,,NOT_APPLICABLE,benchmark not reported by this run,NO_EVIDENCE,run produced no active intervals; break stage never reached,NO_EVIDENCE,independent validation not run,NOT_COMPARABLE_INPUT_NOT_IN_BASELINE,run input edd1f1ec098f7efb matches no RC9.1 baseline scenario; refusing to compare across different inputs,NOT_COMPARABLE_INPUT_NOT_IN_BASELINE,run input edd1f1ec098f7efb matches no RC9.1 baseline scenario; refusing to compare across different inputs
NMG_EN_SP,880d638952550e4e,d318723ae9e1eb17,PASS_WITH_QUALITY_WARNINGS,PASS_FINAL_SCHEDULE_GENERATED,252,196,168,227,210,28,17,,196,0,5,30,coverage_rebalance,PASS_PROTECTED_NOT_EVALUATED,"quality_benchmark=PASS, protected_benchmark=NOT_CONFIGURED; no protected minimum was configured, so the protected tier was never checked",FAIL,target loss 28/252 = 11.1%; floor loss 17/252 = 6.7%; 21 language reserve quarters lost to breaks,PASS,0 hard failures on FINAL_AFTER_BREAKS,NOT_COMPARABLE_INPUT_NOT_IN_BASELINE,run input d318723ae9e1eb17 matches no RC9.1 baseline scenario; refusing to compare across different inputs,NOT_COMPARABLE_INPUT_NOT_IN_BASELINE,run input d318723ae9e1eb17 matches no RC9.1 baseline scenario; refusing to compare across different inputs
NMG_SP,880d638952550e4e,33f540ffa1df748d,PASS_WITH_QUALITY_WARNINGS,PASS_FINAL_SCHEDULE_GENERATED,126,126,124,126,125,2,1,,126,0,2,21,lexicographic_target,PASS_PROTECTED_NOT_EVALUATED,"quality_benchmark=PASS, protected_benchmark=NOT_CONFIGURED; no protected minimum was configured, so the protected tier was never checked",PASS,"target -2, floor -1 of 126 active; 0 exceptions",PASS,0 hard failures on FINAL_AFTER_BREAKS,NOT_COMPARABLE_SEARCH_TRUNCATED,NMG SP: the run explored 8 of 15 skeleton profiles before its Stage-1 budget ran out; re-run at the DEEP design budget before comparing against RC9.1,NOT_COMPARABLE_SEARCH_TRUNCATED,NMG SP: the run explored 8 of 15 skeleton profiles before its Stage-1 budget ran out; re-run at the DEEP design budget before comparing against RC9.1
